"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"Stap 4.2: IB 2019 | als contact name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"32344539";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'IB 2019: {{ _0_3.contact_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Set contacts as marketing contacts";"155639572";"📁 Klantenbestand (5941173)";"5941173";"Offerte geaccepteerd start (5941263) | Omzet in uitvoering - Dossier nog onvolledig (5941264)";"5941263, 5941264";"onbekend";"Overige acties: SINGLE_CONNECTION: Set marketing contact status";"Actief"
"Stap 3.1: LH 2020 augustus | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT";"37240473";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 4.1: OB 2020 Q2 | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"30753375";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'OB 2020 Q2: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Uitgeschakeld"
"Customer Type changes -> Check Beginner Stage";"1692203165";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/check_correct_stage";"Actief"
"DTM tweede gemiste telefoon gesprek";"149890896";"📈 Sales Pipeline (802700718)";"802700718";"Geen gehoor 2. (1180703135)";"1180703135";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_tweede_bel_moment' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Add Batch of Clockify Clients";"152475193";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=1&start=0&end=100; SINGLE_CONNECTION: Delay for 1 minute; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=2&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=3&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=4&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=0&end=100; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=100&end=200; WEBHOOK: Webhook -> https://1662a42a80be88d41fe7507f6c6c80d3.m.pipedream.net?pipeline=5&start=300&end=400";"Uitgeschakeld"
"Move JR deal based on Jaarrekening company property - default";"1617863520";"Jaarrekening - 2024* (136666296)";"136666296";"Open* (235354027) | Software (235223622)";"235354027, 235223622";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235223623; SINGLE_CONNECTION zet dealstage naar 253060782 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Actief"
"[TJILP] Calendly trigger - terugbel afspraak";"39883418";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 5941178";"Uitgeschakeld"
"Stap 3.1: OB 2020 Q3 | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT ";"37239133";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Uitgeschakeld"
"default- stop datum";"164531277";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'stop_dtm' in op '-2208988800000'";"Actief"
"Default-DTM eerste bel moment";"164532917";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_telefoongesprek' in op '-2208988800000'";"Actief"
"Stap 4.2: LH 2020 juni | als company name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT (cloned)";"33417498";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH juni 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Associate Deal with Contact";"40233651";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://en9z5vye8mobx8k.m.pipedream.net";"Uitgeschakeld"
"Stap 4.2: OB 2020 Q3 | als company name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"37239220";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'OB 2020 Q3: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Uitgeschakeld"
"BTW naar contact berekening gereed";"164535421";"Onbekend";"";"11864659 (onbekende stage)";"11864659";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2021_gereed' in op 'Berekening gereed'";"Actief"
"Whatsapp";"57732512";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://en7ajk6bdszva3f.m.pipedream.net";"Actief"
"Update deal stage for monthly customers in the pipeline (BTW - Q2 2025)";"1645386516";"BTW - Q2 2025* (717908747)";"717908747";"Open* (1047755302)";"1047755302";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1049458945";"Actief"
"Meeting send email reminder";"112299419";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Delay for 1 day; SINGLE_CONNECTION: Create task: Reminder to send email example";"Uitgeschakeld"
"Ser priority to green when JR = done";"1617882177";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'low'; LIST_BRANCH: Splits in 1 paden op basis van criteria";"Actief"
"Contact naar JR berekening gereed";"164566603";"Onbekend";"3557160";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 12055918";"Actief"
"Move VPB deal when JR = done (default) ";"1617938093";"VPB - 2024* (136521024)";"136521024";"Software (235292815) | Open* (235292814)";"235292815, 235292814";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 235292816";"Actief"
"Stap 1.1: als contact name & contact owner bekend wordt, dan aanpassen in property deal - ALTIJD AAN MET RE-ENROLMENT";"31083782";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'contact_owner_niet_handmatig_veranderen' in op '{""propertyName"":""hubspot_owner_id"",""type"":""OBJECT_PROPERTY""}'; SINGLE_CONNECTION: Stel 'contact_name_niet_handmatig_veranderen_deel_van_een_workflow' in op '{{ _0_1.firstname }} {{ _0_1.lastname }}'";"Actief"
"Move deal based on Jaarrekening Prioriteit - Default";"1639801219";"Jaarrekening - 2024* (136666296)";"136666296";"Q1 tot Q4 geboekt (235223623) | Gegevens gereed (235354029)";"235223623, 235354029";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1033474669; SINGLE_CONNECTION zet dealstage naar 1033474670 | Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria";"Actief"
"Cluster company -> deal";"1838565946";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"Pipeline is ""Belastingdienst - bezwaar & verzoeken"", Ticket status is ""Gegevens klant opgevraagd / brief schrijven""";"103974764";"Onbekend";"";"2296225 (onbekende stage)";"2296225";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Set VPB priority";"1680508287";"🖥️📚 Externe software: Jaarrekening (801790127) | 📚 Jaarrekening (746430534)";"801790127, 746430534";"Gecontroleerd & Gefactureerd (1178775815) | Gecontroleerd & Gefactureerd (1086340947)";"1178775815, 1086340947";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/update_vpb_deals_when_jr_updated";"Actief"
"Contact naar JR verzonden";"164568338";"Onbekend";"3557160";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 12055921";"Actief"
"Check for prio in JR pipeline";"1686680870";"📚 Jaarrekening (746430534) | 🖥️📚 Externe software: Jaarrekening (801790127)";"746430534, 801790127";"Q1 tot Q4 geboekt (1086340940) | Niet geboekt (Met bank) (1086340936) | Deels geboekt (Met bank) (1310846636) | Q1 tot Q4 geboekt (1178775808)";"1086340940, 1086340936, 1310846636, 1178775808";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/jr_prio_if_ib_ready_except_jr";"Actief"
"Delete contacts with no activity";"98727940";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"BV? instellen";"1831829276";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"Stap 1.1: als contact mail/taal bekend wordt, dan aanpassen in property deal - ALTIJD AAN MET RE-ENROLMENT";"38967743";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'contact_email_niet_handmatig_veranderen_deel_van_een_workflow' in op '{""propertyName"":""email"",""type"":""OBJECT_PROPERTY""}'; SINGLE_CONNECTION: Stel 'contact_language_niet_handmatig_veranderen_deel_van_een_workflow' in op '{{ enrolled_object.taal2 }}'; SINGLE_CONNECTION: Stel 'contact_first_name_workflow_' in op '{""propertyName"":""firstname"",""type"":""OBJECT_PROPERTY""}'; SINGLE_CONNECTION: Stel 'contact_last_name_workflow_' in op '{""propertyName"":""lastname"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"default no afspraak";"222194353";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_eerste_fysieke_afspraak' in op '-2208988800000'";"Actief"
"Stap 3.1: LH 2020 juli | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT";"32583271";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Verlopen datum kopieren van companies naar deals";"1704778538";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'expiry_date' in op '{""propertyName"":""expiry_date"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"VPB goed plaatsen gebaseerd op JR status 2023";"536358463";"VPB - 2023* (74075201)";"74075201";"Aangifte verzonden (142382762) | Factuur verzonden (142382761) | Gedeponeerd (142382764) | Kan gedeponeerd worden (142382763) | Aangifte naar klant (142272147) | In uitvoering (142272145)";"142382762, 142382761, 142382764, 142382763, 142272147, 142272145";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 142272144";"Actief"
"JR verzonden naar contact";"164609094";"Onbekend";"";"12055921 (onbekende stage)";"12055921";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2021_gereed' in op 'Ja'";"Actief"
"Fiscaal partner IB machtiging deal aanmaken";"1842196145";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"'BTW 2 maanden geboekt' instellen";"1692171427";"💼 BTW - Q (759381020)";"759381020";"2 maanden geboekt (info nodig) (1162449030) | 2 maanden geboekt (1162621597) | 2 maanden geboekt (controle) (1162621598)";"1162449030, 1162621597, 1162621598";"onbekend";"Overige acties: LIST_BRANCH: Splits in 2 paden op basis van criteria; SINGLE_CONNECTION: Stel 'btw_2_maanden_geboekt_huidig_kwartaal' in op '2 maanden geboekt (controle)'; SINGLE_CONNECTION: Stel 'btw_2_maanden_geboekt_huidig_kwartaal' in op '2 maanden geboekt (info nodig)'; SINGLE_CONNECTION: Stel 'btw_2_maanden_geboekt_huidig_kwartaal' in op '2 maanden geboekt'; WEBHOOK: Werk de volgende BTW-deal bij met de vorige-twee-maanden status";"Actief"
"Nieuwe portaalklant -> dashboard = true";"1725881497";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dashboard' in op 'true'";"Actief"
"Stap 4.1: LH 2020 juli | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"32583275";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'LH juli 2020: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"BTW naar contact verzonden";"164562318";"Onbekend";"";"10637590 (onbekende stage)";"10637590";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2021_gereed' in op 'Ja'";"Actief"
"Correct Stage IB";"1699565650";"👤 Inkomstenbelasting (749749904)";"749749904";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 1090767423; SINGLE_CONNECTION zet dealstage naar 1090767424; SINGLE_CONNECTION zet dealstage naar 1151360654; SINGLE_CONNECTION zet dealstage naar 1178979681 | Overige acties: LIST_BRANCH: Splits in 5 paden op basis van criteria; WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/ib/prereqs_webhook; LIST_BRANCH: Splits in 1 paden op basis van criteria; WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/ib/route_after_typeform_and_machtiging";"Actief"
"Create new deal";"1699666192";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/operations/hubspot/create_new_deal";"Actief"
"Koppeling sales pipeline en klantenbestand";"1702031225";"📈 Sales Pipeline (802700718)";"802700718";"Offerte geaccepteerd start - met BTW (1185458870) | Offerte geaccepteerd start (1180636318)";"1185458870, 1180636318";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 5941263; SINGLE_CONNECTION zet dealstage naar 1028125851 | Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria";"Actief"
"IB ingediend -> VA IB deal aanpassen";"1732519425";"👤 Inkomstenbelasting (749749904)";"749749904";"Akkoord en ingediend (1090547723)";"1090547723";"onbekend";"Overige acties: WEBHOOK: Werk de gekoppelde VA IB-deal bij naar 'IB ingediend'";"Actief"
"contact name naar ticket name voor toggl project";"31271832";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'contact_name_niet_handmatig_veranderen_deel_van_een_workflow' in op '{""propertyName"":""hubspot_owner_id"",""type"":""OBJECT_PROPERTY""}'; SINGLE_CONNECTION: Stel 'contact_name_niet_handmatig_veranderen_deel_van_een_workflow' in op '{{ _0_1.firstname }} {{ _0_1.lastname }}'";"Uitgeschakeld"
"VPB ingediend -> VA VPB deal aanpassen";"1732522292";"🖥️🏢 Externe software: VPB (802589558) | 🏢 VPB (749963431)";"802589558, 749963431";"VPB Ingediend (1178945698) | VPB Ingediend (1090711431)";"1178945698, 1090711431";"onbekend";"Overige acties: WEBHOOK: Werk de gekoppelde VA VPB-deal bij naar 'VPB ingediend'";"Actief"
"Update deal amount in IB";"260634530";"Onbekend";"";"34277901 (onbekende stage)";"34277901";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'amount' in op '200'";"Uitgeschakeld"
"When a contact clicks a link in the email";"1606917243";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Add enrolled record to static list 0";"Uitgeschakeld"
"Pipeline is ""Sales Pipeline"", deal stage is ""Prospect offerte""";"28781822";"Onbekend";"default";"appointmentscheduled (onbekende stage)";"appointmentscheduled";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Change ticket status when a customer replies to an email";"29474000";"Onbekend";"0";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet hs_pipeline_stage naar 1";"Actief"
"Change ticket status when an email is sent to a customer";"29474222";"Onbekend";"0";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet hs_pipeline_stage naar 2144302";"Actief"
"Pipeline is ""Inbox"", Ticket status is ""Closed""";"29477278";"Onbekend";"";"4 (onbekende stage)";"4";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Pipeline is ""Sales Pipeline"", deal stage is ""Geen gehoor""";"30512246";"Onbekend";"default";"2269288 (onbekende stage)";"2269288";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Sector (deal)  -> Sector (company)";"1844149275";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"Pipeline is ""📈 Sales Pipeline"", stage is ""Offerte verstuurd""";"1845335142";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"Pipeline is ""OB"", Ticket status is ""Open""";"29589094";"Onbekend";"";"2143961 (onbekende stage)";"2143961";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"JR status Q4 2022";"326276520";"Onbekend";"";"50477708 (onbekende stage)";"50477708";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2022_gereed' in op 'JR niet gereed'";"Uitgeschakeld"
"Stap 2.1: OB 2020 Q3 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT (cloned)";"37237241";"Onbekend";"";"4381242 (onbekende stage) | closedwon (onbekende stage)";"4381242, closedwon";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 4755478 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 37239133";"Uitgeschakeld"
"Veroudering Pakketklanten";"190138776";"Pakket Klanten (4485237)";"4485237";"Geen stage gedetecteerd";"";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 14761119; SINGLE_CONNECTION zet dealstage naar 14761118; SINGLE_CONNECTION zet dealstage naar 14761117; SINGLE_CONNECTION zet dealstage naar 14761116; SINGLE_CONNECTION zet dealstage naar 14761115; SINGLE_CONNECTION zet dealstage naar 14776207 | Overige acties: LIST_BRANCH: Splits in 6 paden op basis van criteria";"Actief"
"Update records with known Moeilijkheidsgraad property";"1663377454";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'moeilijkheidsgraad' in op '{""propertyName"":""moeilijkheidsgraad"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Stap 2.1: LH september 2020 | deal trigger maakt nieuwe deal aan - ALTIJD AAN ZONDER RE-ENROLMENT";"37241684";"Onbekend";"";"closedwon (onbekende stage) | 4381242 (onbekende stage)";"closedwon, 4381242";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 4757188 | Overige acties: SINGLE_CONNECTION: Schrijf object in voor workflow 37241694";"Actief"
"JR boekers instellen in VPB pipeline";"1827895686";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"New Deal";"37548510";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://eojgr7ebircfssc.m.pipedream.net";"Uitgeschakeld"
"JR status 2022 uit VPB pipeline";"380243561";"Onbekend";"";"51957060 (onbekende stage) | 51957061 (onbekende stage) | 51934492 (onbekende stage) | 51934495 (onbekende stage) | 51934493 (onbekende stage) | 51934494 (onbekende stage)";"51957060, 51957061, 51934492, 51934495, 51934493, 51934494";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'jaarrekening_2022_gereed' in op 'JR gereed'";"Uitgeschakeld"
"Cluster deal -> company";"1831826707";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"JR goed plaatsen gebaseerd op JR status";"380303715";"Onbekend";"21715880";"57306719 (onbekende stage)";"57306719";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 51914369";"Uitgeschakeld"
"Default-DTM gemiste fysieke afspraak";"164557869";"📈 Sales Pipeline (802700718)";"802700718";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_gemiste_fysieke_afspraak' in op '-2208988800000'";"Actief"
"Copy dossier naam from company to deal";"1798721133";"🖥️💼 Externe software: BTW - Q (802447755) | 🏢 VPB (749963431) | 🧾🏢 Voorlopige Aanslag VPB (827192629) | 🖥️🏢 Externe software: VPB (802589558) | 💼 BTW - Q (759381020) | 🧮 Administratie - M (713153058)";"802447755, 749963431, 827192629, 802589558, 759381020, 713153058";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dossier_naam' in op '{{ fetched_objects.fetched_object_288333142.dossier_naam }}'";"Actief"
"JR prio";"380329652";"Onbekend";"21715880";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Uitgeschakeld"
"Sales owner instellen";"1831937405";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"Stap 3.1: OB 2020 Q2 | verander deal owner in contact owner - ALTIJD AAN ZONDER RE-ENROLMENT (cloned)";"32342610";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hubspot_owner_id' in op '{""propertyName"":""contact_owner_niet_handmatig_veranderen"",""type"":""OBJECT_PROPERTY""}'";"Uitgeschakeld"
"IB informatie status 2022";"380331543";"Onbekend";"";"34277902 (onbekende stage)";"34277902";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'ib_2022_info_ontvangen' in op 'JA'";"Uitgeschakeld"
"VPB goed plaatsen gebaseerd op JR status";"399359805";"Onbekend";"21733904";"51957060 (onbekende stage) | 51957061 (onbekende stage) | 51934492 (onbekende stage) | 51934495 (onbekende stage) | 51957055 (onbekende stage) | 51934493 (onbekende stage)";"51957060, 51957061, 51934492, 51934495, 51957055, 51934493";"onbekend";"Stage/pipeline acties: SINGLE_CONNECTION zet dealstage naar 51957058";"Uitgeschakeld"
"Stap 4.1: IB 2019 | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT";"32344285";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'IB 2019: {{ _0_3.contact_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Datum klacht instellen";"1793356932";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'datum_klacht' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Pipeline is ""OB"", deal stage is ""Open""";"30250544";"Onbekend";"2207218";"2207219 (onbekende stage)";"2207219";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Stap 4.1: VPB 2019 | als deal owner veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT (cloned)";"32344896";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'VPB 2019: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"Associate Deal with Company";"40234057";"Onbekend";"5676045, 2235863, 2818884, 2235922, 2207218, 2235749";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://enxhg00i95hq571.m.pipedream.net";"Uitgeschakeld"
"Won DTM eenmalig";"503852471";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'won_dtm' in op '{""propertyName"":""closedate"",""type"":""OBJECT_PROPERTY""}'";"Uitgeschakeld"
"Pipeline is ""Sales Pipeline"", deal stage is ""Afspraak maken""";"4054721";"Onbekend";"default";"presentationscheduled (onbekende stage)";"presentationscheduled";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Uitgeschakeld"
"Deal prio high";"414562703";"BTW - Q4 2023* (68816402)";"68816402";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'hs_priority' in op 'high'";"Actief"
"Stap 4.2: VPB 2019 | als company name veranderd, dan veranderd deal naam - ALTIJD AAN MET RE-ENROLMENT (cloned)";"32345153";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dealname' in op 'VPB 2019: {{ _0_3.company_name_niet_handmatig_veranderen_deel_van_een_workflow }} | Owner: {{ _0_3.hubspot_owner_id }}'";"Actief"
"DTM info ontvange";"414564944";"BTW - Q4 2023* (68816402)";"68816402";"Info ontvangen (133697054) | Bankkoppeling actief (133697051) | Extra info ontvangen (133660553) | Taak toegewezen (133660554) | Software (133697053)";"133697054, 133697051, 133660553, 133660554, 133697053";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'dtm_info_ontvangen' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Create sales note in new sales pipeline";"1703559009";"📈 Sales Pipeline (802700718)";"802700718";"Fysieke afspraak gemaakt (1180636302)";"1180636302";"onbekend";"Overige acties: SINGLE_CONNECTION: Create task: Follow-up sales gesprek notitie";"Actief"
"Set future deal owners and controleurs for BTW deals";"1798803783";"💼 BTW - Q (759381020)";"759381020";"Factuur en mail verzonden (1162621605) | Extra vragen/opmerkingen van klant (1162621606)";"1162621605, 1162621606";"onbekend";"Geen acties gevonden in opgeslagen workflowdata";"Actief"
"Set 'betaalt niet' company property based on sales pipeline";"1637744759";"📁 Klantenbestand (5941173)";"5941173";"Betaalt niet (1028125854)";"1028125854";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'betaalt_niet' in op 'true'";"Uitgeschakeld"
