"Automation naam";"Workflow-ID (HubSpot)";"Pipeline";"Pipeline ID";"Gedetecteerde stage(s)";"Stage ID(s)";"Trigger-type";"Actie-samenvatting";"Status"
"Update Moeilijkheidsgraad property on associated records";"1663397220";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'moeilijkheidsgraad' in op '{""propertyName"":""moeilijkheidsgraad"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Set Deal Property: Activiteit Sales Deal Stage - Default";"1631923489";"📁 Klantenbestand (5941173)";"5941173";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'activiteit' in op 'Actief'; SINGLE_CONNECTION: Stel 'activiteit' in op 'Inactief'";"Actief"
"Create follow-up sales gesprek notitite";"563280020";"📁 Klantenbestand (5941173)";"5941173";"5941260 (onbekende stage)";"5941260";"onbekend";"Overige acties: SINGLE_CONNECTION: Create task: Follow-up sales gesprek notitie";"Actief"
"Won DTM";"145760532";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'won_dtm' in op 'de datum waarop deze actie wordt uitgevoerd'";"Actief"
"Deal in Beginner Stage Property";"1692173640";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: LIST_BRANCH: Splits in 8 paden op basis van criteria; LIST_BRANCH: Splits in 1 paden op basis van criteria; SINGLE_CONNECTION: Stel 'beginner_stage' in op 'true'; SINGLE_CONNECTION: Stel 'beginner_stage' in op 'false'";"Actief"
"Update Software Portaal Pakket property for associated records";"1663413383";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op '{""propertyName"":""software_portaal_pakket"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Set Jaarklant property";"1696374857";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-development.up.railway.app/properties/update_jaarklant_property";"Uitgeschakeld"
"Set Software/Portaal/Pakket/CSV based on dealstage";"1697577818";"📁 Klantenbestand (5941173)";"5941173";"Pakket klein (1176430505) | IB particulier (1044124012) | Pakket groot (1189168762) | CSV (1176430501) | Portaal (1176430502)";"1176430505, 1044124012, 1189168762, 1176430501, 1176430502";"onbekend";"Overige acties: LIST_BRANCH: Splits in 5 paden op basis van criteria; SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op 'Software'; SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op 'Pakket groot'; SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op 'CSV'; SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op 'Portaal'; SINGLE_CONNECTION: Stel 'software_portaal_pakket' in op 'IB particulier'";"Actief"
"When Jaarrekening Company changes changes sync contact";"1617456897";"Onbekend";"";"Geen stage gedetecteerd";"";"onbekend";"Overige acties: SINGLE_CONNECTION: Stel 'company_property_sync_jaarrekening_2024' in op '{""propertyName"":""jaarrekening_2024"",""type"":""OBJECT_PROPERTY""}'";"Actief"
"Update IB kan gemaakt worden property";"1680634239";"📚 Jaarrekening (746430534)";"746430534";"Geen JR (1086412189) | Gecontroleerd & Gefactureerd (1086340947)";"1086412189, 1086340947";"onbekend";"Overige acties: WEBHOOK: Webhook -> https://composed-month-production.up.railway.app/properties/update_ib_kan_gemaakt_worden";"Actief"
